date,NO2,CO,SO2,O3
2025-07-25,3.402867335151111e-05,0.0256872742863024,-1.1371592214951911e-05,0.1134122185409069
2025-07-26,2.712082528415312e-05,0.0272539630532264,0.000207159647961,0.1138344294288092
2025-07-27,1.3736770821625918e-05,0.0273975878953933,-1.1561296916767665e-07,0.1127479584473702
2025-07-28,2.059382325872624e-05,0.0293455825132482,8.60969303175807e-05,0.1122847539890143
2025-07-29,2.620302920774975e-05,0.0284295280774434,6.118030890960384e-05,0.1120841427602701
2025-07-30,3.074925170565134e-05,0.0306355837852724,5.862466555009497e-05,0.1125740527899728
2025-07-31,2.8282976392588087e-05,0.025937580400043,6.972263508941978e-05,0.1146934174208177
2025-08-01,2.5241945891071165e-05,0.0241518378257751,7.543942310671875e-05,0.1137426481064823
2025-08-02,2.174807154322321e-05,0.0255658129851023,2.1965774479058556e-05,0.1143465891687406
2025-08-03,1.2590911993015652e-05,0.0263538129294096,2.7061941142639387e-05,0.1143319515718354
2025-08-04,4.716957877545528e-06,0.0261571127921342,1.3822184908869011e-05,0.1161306136184268
2025-08-05,2.047704766222783e-05,0.025868160650134,6.942424005356388e-05,0.1166809204344948
2025-08-06,1.3245329600150315e-05,0.0296089406740867,0.0003104294222351,0.1159677334750692
2025-08-07,1.9511896438076703e-05,0.0312467753887176,0.0004163050273461,0.1145251840353012
2025-08-08,1.4955520476899532e-05,0.0277121067047119,0.0001295443757304,0.115988687508636
2025-08-09,1.4335203392571808e-05,0.0310723550858036,1.8257094779983163e-05,0.1143819675263431
2025-08-10,2.775244019144809e-05,0.0262345173319832,-4.1298610287615e-05,0.1141406027600169
2025-08-11,2.725615013332572e-05,0.0284364490366693,0.000200042003316,0.114928081838621
2025-08-12,4.242630867728232e-05,,3.3302773469282934e-06,0.1148745545910464
2025-08-13,1.996764177210235e-05,0.0281442977763988,0.0001822530858866,0.1152459875577026
2025-08-14,1.021657008574326e-05,0.0278262598761196,0.0001765634558761,0.1155576617974374
2025-08-15,2.4309547734446826e-05,0.0296836016608066,0.0001601507021507,0.1166231554622451
2025-08-16,3.412771075090859e-05,0.0289810087721226,0.000227916209648,0.117204093063871
2025-08-17,1.3345154029869292e-05,0.0265473734657719,0.0001541419124061,0.113802859870096
2025-08-18,2.469527093442436e-05,0.0285808566738577,4.841926031161186e-05,0.1132734670407242
2025-08-19,2.240296885247517e-05,0.0275839021650411,6.114757056102941e-05,0.1155912504634923
2025-08-20,1.6442332707811147e-05,0.0266574958096379,,0.1146105372657378
2025-08-21,2.7517967566836887e-05,0.0309300368482416,0.0009503511504994,0.1133186005883746
2025-08-22,4.345052296966536e-05,0.0285440270717327,-1.4108970450858277e-05,0.1133705462432569
2025-08-23,4.1398625398869626e-05,0.0283610463142395,2.8319795651791188e-05,0.1141712070546216
2025-08-24,2.178353719127466e-05,0.0264038966252253,-3.28754671705021e-05,0.1158877737406227
2025-08-25,3.501025575629187e-05,0.0280630607758798,0.0001931014315535,0.1170440581109788
2025-08-26,2.455224028546416e-05,0.0274786154429117,0.0002591739563892,0.1160815931147053
2025-08-27,3.796090585148284e-05,0.0273539369756525,-0.0001665423291602,0.116233938270145
2025-08-28,4.351994180872091e-05,,4.535142215900123e-05,0.1161730521255069
2025-08-29,2.159241921617649e-05,0.0288943774772412,6.616889622132733e-05,0.113380566239357
2025-08-30,1.8666982966281536e-05,0.0244117796421051,4.367694472436045e-05,0.1149649685248732
2025-08-31,1.833061566382336e-05,0.0257767215371131,-6.197321006277604e-06,0.1157454462308022
2025-09-01,3.780461120186374e-05,0.0253727142627422,-1.7806040381805764e-05,0.1153224067141612
2025-09-02,2.157683341217556e-05,0.025936592902456,5.168675111149842e-05,0.1136492005445891
2025-09-03,2.968061736704308e-05,0.0268811453943667,-4.629236147073763e-05,0.1136054968875315
2025-09-04,2.293586815085292e-05,0.024488817243015,3.296046463005683e-05,0.1131797432899475
2025-09-05,3.713188546801879e-05,0.0243090546649435,1.5277542512525212e-05,0.1137101115244958
